model,topic_id,keywords,doc_count,doc_pct,sample_1,sample_2,sample_3
LDA,0,"tahu, min, bpk_prabowo, omon, masya_allah",237,3.5%,huuhhhhh,rarrrr,gercepp
LDA,1,"pk, mokel, maju, lanjut, demi",177,2.6%,mokel di jalan,bayyohh mokel berjamaah,lihat ginian doang ikut_bahagia
LDA,2,"makan, gratis, bergizi, yang, saya",4208,62.0%,makan bergizi gratis tidak hanya buat anak sekolah ya gaes ibu_hamil menyusui juga dpt,sbnrnya program makan bergizi gratis bagus yang meruesakny yang mengelolny tetapi tidak semua pengelola buruk ada juga yang amanah baik,makan bergizi gratis anak jadi semangat sekolah the_best p_prabowo
LDA,3,"itu, enak, kapan, yang_penting, lapangan",107,1.6%,mending di ganti beras sekarung,mereka se effort itu lohh,survei lapangan dadakan dan acak bapak supaya tau aslinya di_lapangan
LDA,4,"bpk, bicara, bersih, untung, mengapa",112,1.7%,sehat_sll bpk,anak saya buahnya slalu dibawa_pulang kalau nasinya alhamdulillah slalu habis adiknya suka sekali dengan buah pisang buah jeruk terima_kasih_bapak semoga bapak slalu sehat_slalu amin,bicara opo weeeesss
LDA,5,"bapak, bapak_presiden, sehat_selalu, semoga, lanjutkan",511,7.5%,lanjutkan bapak_prabowo,sehatruss pa saya yakin bpk_presiden terbaik,bapak moga panjang_umur sehat sellu
LDA,6,"tim, belum_dapet, bakso, lahan_korupsi, pemimpin",81,1.2%,lapangan_kerja omon_omon bapak,bisakah nama mitra diganti secara sepihak tanpa ada konfirmasi terlebih dl dari pihak yayasan mohon penjelasannya bapak,kami yang faham bagaimana pemikiran pemimpin
LDA,7,"yang, bapak, di, tidak, dan",1354,19.9%,saya guru paud sangat senang dengan program makan bergizi gratis tapii guru paud itu tidak dpt apa ya gaes berita ttg insetif yang didapat guru itu hanya untuk yang jml siswanya diatas kami ikhlas tentu anak suka kami capek ya apakah guru paud desa tidak seberarti itu tentu saja ini masalah dianggap dan tidaknya gaji kami kecil tidak bisa ikut ppg dan lain-lain bahkan ikut melaksanakan program makan bergizi gratis pun kami dibayar dengan ikhlas tidak apa-apa nanti pasti ada hitungannya,kalau memang begitu ya tlg lebih dikontrol donk yang kerja disana,bapak_presiden yang baik kalau bpk mau program_ini tepat_sasaran cek anggota dpr mereka semua yang jadi mitra bagaimana mau bersih korupsi
